signal_id,dimension,time_series
288,7037,"[ 0.2618425   0.25960872  0.18779112 ... 11.401987   11.686026
 11.987453  ]"
289,7807,"[-13.59255    -13.552975   -13.565023   ...   0.22024502   0.36168042
   0.43530664]"
290,4989,[-0.9376864 -1.0711517 -1.1073257 ... -2.5203984 -2.5551522 -2.5530138]
291,4227,[1.4475151 1.3777729 1.2906073 ... 1.2013644 1.1900233 1.1917613]
292,3588,[-2.0964725 -2.0935285 -2.2341044 ... -1.1899661 -1.32256   -1.2927663]
293,6783,[1.2711775 1.4665889 1.5544685 ... 8.487345  8.425797  8.326517 ]
294,4350,[1.5252854 1.5047936 1.5069705 ... 0.6480457 0.6175931 0.6347899]
295,4227,[9.875     9.774243  9.690108  ... 2.4732368 2.5317404 2.6305876]
296,3326,"[-0.21744698 -0.19614892 -0.20003371 ...  4.2129884   4.3029795
  4.385532  ]"
297,3326,[-8.878227  -8.876071  -8.950051  ... -6.261051  -6.334779  -6.4629354]
298,5890,"[-0.12597944 -0.2448709  -0.39430192 ... -4.182192   -4.2425885
 -4.565079  ]"
299,6529,[-3.351586  -3.3060951 -3.7474434 ...  3.4933605  3.6317062  3.9312305]
300,6398,[2.3544888 2.5381    2.910082  ... 3.4933605 3.6317062 3.9312305]
301,3842,"[ 0.38541603  0.61957496  0.7472776  ... -0.36357743 -0.31281132
 -0.18988296]"
302,8061,[0.91756946 0.9416607  0.95436394 ... 0.0782626  0.03791916 0.02844677]
303,7299,[ 1.642573   1.8456727  1.8639442 ... -3.122653  -3.10872   -3.160613 ]
304,5628,[1.8305947 3.6066332 5.4082327 ... 4.5592656 4.676626  4.686002 ]
305,5505,[4.401198  4.1662683 4.0243244 ... 1.8711557 1.8231281 1.8116974]
306,6267,[1.5423973 1.4240134 1.3032603 ... 2.3267558 2.350233  2.1382923]
307,5374,"[-1.0419009  -0.9966595  -1.043709   ... -0.95996344 -0.89978594
 -0.88779944]"
308,7684,[-0.4588931  0.8615402  1.3629333 ...  2.0049548  0.5367304 -1.5920143]
309,5251,[-3.2932363 -3.2400734 -2.5137055 ... -2.5387785 -2.1376863 -2.3184695]
310,4735,[ 3.1934571  3.0346363  2.9684033 ... -2.5387785 -2.1376863 -2.3184695]
311,6012,[ 4.834607   4.634059   3.0080352 ... -8.925009  -9.11828   -9.185142 ]
312,2565,[12.0938    12.296655  10.742779  ...  3.9685822  6.348941   6.6069293]
313,4866,"[-10.061082  -10.369895  -11.177613  ...  -0.6889258  -2.1123989
  -2.7443647]"
314,3203,"[-2.2979233  -4.505652   -7.643831   ... -1.5090252  -1.1594439
 -0.94984037]"
315,5636,[-2.7508743 -3.1207998 -3.1872864 ... -3.7998552 -3.6518955 -3.4391787]
316,4481,[-0.9850883 -1.0777183 -0.9361514 ... -5.56708   -5.8039474 -5.91656  ]
317,8061,[ 1.5244752  1.58978    2.1865122 ... 22.371939  23.483885  23.633055 ]
318,7299,"[-18.313002   -18.218893   -18.122463   ... -12.51424     -7.0321445
   0.11478349]"
319,7552,[17.886826  17.478193  17.16714   ... -2.633787  -2.16937   -1.7361681]
320,3203,[ 3.5026639  2.1188955  1.0658193 ... -3.3470225 -1.2765235 -1.344264 ]
321,5120,[-1.1831199 -1.2021526 -1.4232908 ... -4.065977  -4.676662  -5.0272036]
322,8192,[-1.1831199 -1.2021526 -1.4232908 ... -2.1792614 -1.8487414 -1.8563558]
323,6144,[-5.0480113 -4.723535  -4.320079  ... -3.8797626 -3.7051265 -3.2673867]
324,9855,[-5.0480113 -4.723535  -4.320079  ...  0.3537209  0.569055   0.7198816]
325,4096,"[-0.44859332 -0.34139386 -0.18688534 ...  0.21723917  0.17257613
  0.13656631]"
326,4350,"[ 4.335035    4.51679     4.5644603  ...  0.35864684  0.07408864
 -0.11492915]"
327,4989,"[-1.9199684  -1.9698142  -2.010614   ...  0.46340963  0.5092416
  0.70047355]"
328,3588,"[-0.25300482 -0.26843396 -0.31427458 ... -0.35382894 -0.32700744
 -0.720755  ]"
329,4735,[-3.267856  -3.2807062 -3.2456553 ... -6.737594  -6.8665915 -6.900633 ]
330,5759,"[ 2.0265985   1.7585378   1.8296589  ... -0.4921394  -0.49593621
 -0.50070465]"
331,6144,"[  3.7726455   3.8150744   3.8521554 ... -12.341704  -12.406587
 -12.619295 ]"
332,6144,[-22.648352 -22.417747 -22.067932 ...  -8.608683  -8.008472  -7.419868]
333,6275,[ 9.91315   10.034491   9.840313  ... -2.652224  -2.7215254 -2.8295772]
334,4227,[0.69469076 0.5193661  0.44703808 ... 7.335855   7.324626   7.3221164 ]
335,8454,"[  0.528655     0.35610437   0.17883633 ... -39.139915   -39.183968
 -39.230434  ]"
336,6144,[-7.439461  -7.3662925 -7.478265  ... 15.533719  15.658113  15.810686 ]
337,7422,[-7.439461  -7.3662925 -7.478265  ... 11.643589  11.687671  11.713233 ]
338,4481,[11.764961 11.866306 11.92117  ... -9.109398 -9.257494 -9.394659]
339,4858,"[-0.6768056  -0.5683421  -0.53751415 ... -7.2010956  -7.2864337
 -7.241445  ]"
340,7553,[7.306316  6.719046  6.345582  ... 6.4062877 6.262237  5.9662766]
341,7045,"[ -6.944228   -6.649402   -6.4527755 ... -47.665962  -47.601913
 -47.395287 ]"
342,5120,[16.371113 15.999635 15.67483  ...  8.621019  8.362279  8.179493]
343,3711,[3.581574  3.7042537 4.1161823 ... 9.735951  9.468133  9.296076 ]
344,3334,[14.227483  14.085324  13.846483  ...  5.2494154  5.1993103  5.1213355]
345,4865,"[ 8.457142    8.146877    7.912289   ... -0.65943253 -0.74008435
 -0.8122942 ]"
346,4481,[ 2.0571482  1.7197862  1.2581091 ... -3.1307967 -3.2925353 -3.4399834]
347,4734,"[-1.2929522  -1.9176655  -2.4700763  ...  0.5284266   0.61715686
  0.70092446]"
348,3203,"[ 2.4436972   2.7575781   2.9440572  ... -0.08038402 -0.42503038
 -0.5365031 ]"
349,6013,"[-0.13993429 -0.5106641  -0.6870209  ... -1.2797518  -0.96573824
 -1.0743009 ]"
350,5505,"[-1.6471019  -2.3263245  -2.9885595  ... -1.231282   -0.67173636
 -0.07484671]"
351,5759,[ 1.6409847  1.7410418  1.6819774 ... -4.0485597 -4.1524143 -4.3044057]
352,5890,[2.275163  1.8995464 1.6022762 ... 3.7556393 3.762141  3.7088575]
353,5251,[-5.7378426 -5.752789  -5.7002144 ... -7.504032  -6.23668   -4.896283 ]
354,3842,[0.60895205 0.8385158  1.126973   ... 2.0265124  3.3604128  3.0761182 ]
355,6275,[ 6.936858   5.496418   4.9514775 ... 36.572342  38.54927   39.73583  ]
356,4735,"[ -1.594566   -1.5967377  -2.9890778 ... -11.4035225 -11.836784
 -12.239507 ]"
357,7299,"[ -2.3630004  -2.3628018  -2.331136  ... -12.151009  -12.112629
 -11.598862 ]"
358,4473,[-11.277797 -10.712777  -9.431767 ... -10.693106 -10.660311 -10.446418]
359,4350,[ 3.5538516  4.4571834  4.462111  ... -7.8277926 -8.1332245 -8.89715  ]
360,7422,[-5.998823  -5.4165416 -4.8495774 ... -0.6692072 -0.6208535 -0.5021826]
361,4989,[13.847511  12.917763  11.85611   ...  2.5303068  2.6735952  2.807276 ]
362,7037,[13.847511  12.917763  11.85611   ...  0.8149595  1.6409898  1.5198516]
363,3326,"[ -5.014661   -4.9657764  -4.4796877 ... -21.194206  -21.445004
 -21.291204 ]"
364,8315,"[  1.6968088   1.9686071   2.2191496 ... -25.003544  -25.272993
 -25.697191 ]"
365,7553,[-21.04292  -21.113008 -21.53055  ... -10.505629 -10.757775 -10.978996]
366,7806,"[-11.134216  -11.433775  -12.061909  ...  -4.974431   -4.184727
  -3.5283449]"
367,7675,"[ -3.6950846  -5.2412477  -6.2401905 ... -12.596434  -12.320525
 -11.1806555]"
368,8577,[-3.2515254 -2.1948879 -1.2846296 ... -5.1829977 -5.061663  -5.544543 ]
369,9216,[-8.634752  -9.140985  -9.255467  ... -1.9453163 -1.868028  -1.9401203]
370,5120,"[ 0.86852574  1.2410991   1.780749   ...  0.49501872  0.21513472
 -0.43660665]"
371,7037,"[ -7.428368   -7.6088815  -7.756251  ... -15.5360365 -15.429672
 -15.361053 ]"
372,6651,"[ -0.86588997  -2.0177534   -1.1679171  ... -23.625498   -27.014622
 -27.298735  ]"
373,6783,"[ -2.929083   -4.597677   -6.3746395 ... -25.54392   -24.35545
 -22.634296 ]"
374,4866,[19.226969 18.38946  17.819677 ...  9.93794  10.032392 10.190123]
375,5119,[27.489342  26.412834  26.154362  ...  3.578746   3.5175028  3.4247317]
376,4989,[-5.3643126 -5.1198177 -4.829534  ... -8.023838  -8.137228  -8.214764 ]
377,4096,[-7.449891  -7.5779133 -7.6563606 ... -2.776188  -2.9055092 -2.8628683]
378,4866,[-10.145269 -10.478852 -10.83695  ... -11.454763 -11.576018 -11.676168]
379,4350,"[-11.7700615 -11.876595  -11.963429  ...   5.9376745   5.749099
   5.325183 ]"
380,5636,"[ -2.0796657  -2.1398733  -2.139663  ... -15.388029  -15.391071
 -15.392527 ]"
381,5636,"[ -2.0796657  -2.1398733  -2.139663  ... -15.388029  -15.391071
 -15.392527 ]"
382,3334,[-9.162987  -9.334947  -9.526134  ... -2.749837  -2.9075537 -3.1108284]
383,8962,[-6.3292685 -6.263444  -6.242515  ...  9.295079   9.477938   9.618058 ]
384,7938,"[-4.3421903  -4.426353   -4.5381336  ... -1.7683647  -1.2903925
 -0.79922557]"
385,2949,[-4.0982275 -4.0815096 -4.0749326 ... -3.2973454 -3.4756286 -3.5609524]
386,4481,[-3.4464922 -3.395066  -3.3091955 ... -0.4032996  0.1942292  1.4739548]
387,5758,"[ 2.0482717   2.258039    2.691919   ... -1.5235043  -1.2375675
 -0.87974316]"
388,4866,"[-0.6685464  -0.5264523  -0.42240527 ... -0.74972034 -0.69372106
 -0.6685947 ]"
389,6013,"[-0.51915556 -0.7784702  -0.90799224 ... -7.219832   -7.1186423
 -6.981346  ]"
390,5628,[-1.6649395 -1.794744  -1.9079994 ... -4.186519  -4.3470306 -4.53241  ]
391,7807,[ 0.5381047  1.303271   1.2589427 ... -7.187539  -7.3693566 -9.463345 ]
392,3195,"[-0.10835499 -0.10612115 -0.15289195 ... -7.187539   -7.3693566
 -9.463345  ]"
393,5374,"[ 6.6106873   7.095804    7.4734707  ... -0.8932194  -0.79548466
 -0.7129254 ]"
394,7168,"[ -0.7209291  -0.6446546  -0.614823  ... -12.288594  -11.824056
 -11.4110155]"
395,8446,[-7.9486637 -8.530178  -9.126621  ... -2.2671058 -2.0686505 -1.7825398]
396,7676,"[-0.09901402 -0.04745226 -0.25611472 ...  4.7342143   4.4503098
  4.2333636 ]"
397,7168,"[-11.028215  -10.6219845 -10.260189  ...  -7.5403557  -7.7371864
  -8.323257 ]"
398,4735,[1.8221204  1.8090062  1.7295349  ... 0.8611009  0.91128105 1.0073992 ]
399,5120,"[10.86718    11.05804    11.120898   ...  0.64565927  0.8782791
  1.3030043 ]"
400,5628,[-1.7907318 -1.8262616 -1.9194522 ... -1.640963  -1.698192  -1.782395 ]
401,2941,[-12.642676 -12.542832 -12.442724 ...  -1.640963  -1.698192  -1.782395]
402,7045,[-2.4820743 -2.4748914 -2.4594433 ...  3.6305711  4.4932942  5.536653 ]
403,3579,"[ 6.630773    7.710051    8.8040695  ...  0.02371925 -0.03841122
 -0.12704627]"
404,4734,[ 1.5806044  1.8082342  1.8182214 ... -4.7182403 -4.792632  -4.889834 ]
405,5251,"[ 0.78242517  0.84262896  0.946937   ... -2.0587137  -3.0416486
 -4.3832693 ]"
406,5759,[1.6635188 2.6833758 2.9355714 ... 4.1252594 3.9152946 3.6552489]
407,6406,[ 5.8975244  5.599301   5.067945  ... -8.749791  -8.650008  -8.651556 ]
408,7553,[ 1.5136944  1.3925235  1.1699839 ... -4.8505993 -4.5151997 -4.2707543]
409,3326,"[-4.138076   -4.0481267  -3.960775   ... -1.7416928  -1.2660371
 -0.75637084]"
410,4612,[0.03949823 1.2289554  3.2053885  ... 5.2293773  5.022995   4.6038275 ]
411,4735,"[-0.63468486 -0.3306841   0.09495798 ...  0.4311635  -1.8175982
 -2.1439583 ]"
412,6782,"[ 0.27083796  2.1266143   1.4002014  ... -0.9797543  -0.5850754
 -0.61124843]"
413,5505,[ 2.1251397  2.0374322  1.4620895 ... -7.786021  -8.190684  -7.9900894]
414,3588,[-7.9412694 -7.909119  -7.7894683 ...  1.9194216 -0.4292207 -1.9119483]
415,7422,"[-1.5320449   0.9329085   2.3585012  ... -1.0374893  -0.90927124
 -0.83474576]"
416,9724,"[-1.5320449   0.9329085   2.3585012  ...  1.9730784   0.91597384
 -0.10749067]"
417,8061,"[-1.6077724  -1.5638611  -1.5270565  ...  1.9730784   0.91597384
 -0.10749067]"
418,3580,[-14.572635 -14.79963  -15.147309 ... -13.789455 -14.052766 -14.292198]
419,8192,"[  7.0271616   7.748016    8.544128  ... -22.543545  -22.186256
 -21.771496 ]"
420,6791,"[-21.428642  -21.138166  -20.895472  ...   7.1784835   7.1142926
   6.9705224]"
421,7815,"[-21.428642   -21.138166   -20.895472   ...   0.88150334   0.986008
   1.1003033 ]"
422,3326,[0.11423338 0.10121043 0.3052827  ... 1.2027606  1.671148   1.280449  ]
423,5627,[1.3925794 1.5594484 1.5714635 ... 1.2980975 1.329699  1.3267093]
424,6660,"[-0.17339508 -0.19640014 -0.22357005 ...  3.1623461   3.3607132
  3.3425775 ]"
425,5119,"[-0.08208704 -0.10309722 -0.10339963 ...  2.7264369   1.101377
 -0.05288579]"
426,2949,[2.8666916 2.726793  2.5170949 ... 3.4301426 3.1772335 2.4877305]
427,4096,[-8.636877  -9.233872  -9.794891  ...  7.649942   7.8493853  7.8884473]
428,6783,[-8.636877  -9.233872  -9.794891  ...  3.8694916  3.8608057  3.914433 ]
429,6275,"[-0.5062441  -0.40778065 -0.31164458 ...  2.6303525   2.7040002
  2.8148844 ]"
430,6013,[1.4569767 1.7923423 2.1780171 ... 5.888801  5.46269   4.9549127]
431,6783,[-1.8133837 -1.7415653 -1.6707242 ...  5.1235914  5.105312   5.195098 ]
432,5251,"[ 4.3910728   3.7511716   3.1008692  ... -0.24649726 -0.22985446
 -0.20925376]"
433,5120,[-3.3808672 -3.2095249 -3.0324533 ...  1.1070743  1.0829132  1.066895 ]
434,6267,[11.735932  11.629301  11.575135  ... -8.77244   -9.0019655 -9.232862 ]
435,6783,[11.735932 11.629301 11.575135 ... 20.654741 20.315575 20.229122]
436,7553,[ 3.1725163  3.175286   3.1811018 ... -0.9891952 -1.0040811 -1.0265484]
437,3072,"[ 0.86692524  9.814275   13.740229   ...  1.1513853   2.3809347
  2.6001146 ]"
438,4350,"[ 0.97064424  0.87980926  0.777303   ... -0.8693238  -0.753746
 -0.45035285]"
439,4989,"[ 0.98230827  0.95588344  0.9906885  ... -1.8406383  -2.0487502
 -2.0400023 ]"
440,4095,[1.7697033 1.8301456 1.9207466 ... 2.223299  2.269268  2.351402 ]
441,3580,[-2.0131104 -2.4177008 -3.1084886 ...  2.0081525  1.8171643  0.7546933]
442,6652,[-9.824473  -9.683861  -9.498839  ...  3.6005354  3.7655337  4.056614 ]
443,6529,[-8.046735  -7.1690125 -6.8821926 ...  3.6005354  3.7655337  4.056614 ]
444,5505,"[-0.9784493  -0.9805281  -0.98698586 ... -8.306483   -8.22196
 -8.154696  ]"
445,5373,"[-1.5840133  -1.7537324  -1.9245405  ...  0.11083155  0.59842247
  1.1033401 ]"
446,5373,"[-1.5840133  -1.7537324  -1.9245405  ...  0.11083155  0.59842247
  1.1033401 ]"
447,4350,[-1.1492964 -1.0485996 -0.9558205 ... -1.6578403 -1.6610833 -1.6463482]
448,2810,"[-0.9178175  -0.96431184 -1.0021292  ...  2.2803774   2.1847517
  2.097474  ]"
449,3326,"[-1.0842978  -1.0043256  -0.9596751  ... -0.41166982 -0.40582463
 -0.45921034]"
450,5374,"[-4.4807262  -4.509962   -4.541626   ... -0.5523147  -0.53001386
 -0.51861864]"
451,4989,[-3.008925  -3.0242198 -3.0058563 ... -3.63389   -3.6670728 -3.7008724]
452,4219,[-2.7104046 -2.5117466 -2.2697122 ...  3.3491359  3.3003278  3.2394652]
453,4227,[2.512295  2.4275296 2.2967525 ... 2.958094  3.0476074 3.1080918]
454,5251,"[-0.5884799  -0.23888223  0.00500735 ...  0.62138236  0.7084784
  0.7377568 ]"
455,4350,"[-6.6033344  -6.3098574  -6.2683215  ... -0.93670577 -0.8794095
 -0.653259  ]"
456,5382,[3.9540715 4.078904  4.80705   ... 3.2555914 2.990682  2.5296404]
457,3072,[1.5028124 1.8502156 1.1990292 ... 1.3467495 1.0760075 1.1416675]
458,4481,[-3.7113762 -0.6653206  2.645099  ...  2.3011189  1.320145   1.2122923]
459,4866,"[-3.7113762  -0.6653206   2.645099   ...  0.0879885  -0.2564488
 -0.16190173]"
460,6652,"[-1.2316743  -1.3458464  -1.6793046  ... -1.3291444  -0.31249908
 -0.5837697 ]"
461,4096,[-2.8150423 -2.6725888 -3.0880384 ... -5.7967944 -5.717609  -5.637205 ]
462,6660,"[-5.526244   -5.447568   -5.389536   ...  0.71274674  0.6193867
  0.4203603 ]"
463,3195,[ 0.6470804  1.291499   2.3281267 ... -4.168677  -4.31816   -4.398193 ]
464,2949,[17.831919 17.938883 17.99042  ... 24.551292 24.746723 24.775715]
465,4866,"[-19.14658    -19.213982   -19.027102   ...   5.6258492    3.0074148
   0.15477963]"
466,8708,[-1.7962267 -2.336541  -3.9519846 ... -1.6474668 -1.537055  -1.8088865]
467,3579,[-2.3688068 -2.4372082 -2.613892  ... -7.4500427 -7.54529   -7.811259 ]
468,5120,"[-7.9154687  -7.976663   -7.903091   ...  0.07170177 -0.04354317
  0.01683471]"
469,3203,[1.0988942 0.84658   0.5921075 ... 2.4925525 1.912163  2.7745907]
470,8700,[3.361904  2.719254  2.1437805 ... 4.7015986 4.7325897 0.3731434]
471,7299,"[ 3.9394927   5.1088495   4.3754783  ... -1.0867951  -0.66748255
 -0.8860902 ]"
472,5252,"[-1.2300091  -3.0070376   0.42472214 ... -1.0114893  -1.2386924
 -1.4330379 ]"
473,3842,[7.801741  7.44343   7.1210756 ... 7.845869  7.614772  7.3656225]
474,2564,"[ 0.45486268 -0.274968   -0.8528598  ...  2.300594    2.3188426
  2.3450828 ]"
475,5505,"[-1.6059994  -1.7105889  -1.3247801  ...  1.0025139   0.9111285
  0.84451896]"
476,5628,[4.5782747 3.809623  2.7873394 ... 1.9034568 1.8437605 1.8340522]
477,4743,"[ 4.5214505   4.0949683   0.6566502  ... -0.13846421 -0.2310253
 -0.6616165 ]"
478,5251,[4.838661  4.888009  4.8947725 ... 2.5758789 2.4161284 2.2123125]
479,4735,"[-0.18658155 -0.28518027 -0.45033175 ...  0.9071566   0.8249363
  0.7395045 ]"
480,5505,[-5.259596  -5.5677705 -5.270053  ... -7.647173  -7.5367866 -7.3533587]
481,6275,[2.5875535 2.5673742 2.533024  ... 2.7870386 2.7509239 2.7163205]
482,7046,[2.5875535  2.5673742  2.533024   ... 0.06258411 0.06931918 0.07360537]
483,5505,[ 3.2950103  3.7743487  4.142215  ...  0.9699863 -2.25026   -4.032158 ]
484,9986,[ 2.1119676  1.8443418  1.6336004 ...  0.7449103  1.3679439 -1.5383186]
485,6398,[-4.068248  -3.442466  -4.3470025 ...  1.7178322  1.9988014  2.1595278]
486,7807,[-6.8175216  7.9328604  5.0486865 ...  1.5727504  1.2724029  1.8940405]
487,4735,"[  2.477741   -1.982993    2.3448124 ...  17.105204    1.0631344
 -15.487048 ]"
488,4997,[ 2.477741  -1.982993   2.3448124 ...  3.3929646  5.6518035 -4.88827  ]
489,3203,[-3.894851   7.5870867  2.1021671 ... -0.6205287 -1.9462568  3.6718664]
490,5242,"[ 1.9890022   6.781602   -1.9472523  ...  1.897813   -0.3308957
  0.52859104]"
491,7676,"[  5.006032    -1.3058795   -3.9092107  ... -11.278029    11.716074
  -0.69469166]"
492,8577,"[  6.507004   10.380085  -15.895768  ...  -1.439952   -2.521353
   2.4193678]"
493,4866,[-4.610615  -4.7231646 -4.8509645 ...  3.4320605  3.6852262  3.6347642]
494,5890,[-1.5270445 -0.6849295 -1.1741116 ... -2.340336  -0.1443382  2.2593906]
495,6013,[-0.0158445 -1.5680578 -1.933314  ... -2.9007664 -2.5833657 -2.6024387]
496,3326,"[-1.0609568  -1.2295357  -1.2471638  ...  0.13136788  0.29739094
  0.33878997]"
497,7807,[-4.5276504 -3.7396832 -3.7318406 ...  3.1491725  3.5756037  3.0802915]
498,8831,[ 9.43978    8.7553425  8.487353  ... 20.584465  20.632479  20.679573 ]
499,9855,"[-28.365108  -27.609379  -26.305696  ...  -2.9859397  -3.2398114
  -3.4643471]"
500,7422,"[19.46029    19.621738   19.745827   ...  0.09321576 -0.04074416
 -0.30034596]"
501,8830,"[-40.25601   -40.40621   -40.78387   ...   5.439605    5.7441206
   6.294699 ]"
502,8314,"[ -3.487188   -3.5305407  -3.7008667 ... -13.45567   -13.722329
 -14.097745 ]"
503,6144,"[-14.446236  -14.681672  -14.962532  ...  -7.9982133  -8.015685
  -8.339547 ]"
504,5759,[-1.8117943 -1.5202504 -1.2797395 ... -2.0390148 -1.993783  -1.9969335]
505,6021,"[-1.2855477  -1.1450977  -0.9504741  ... -0.2841351  -0.15481165
 -0.0888589 ]"
506,6021,"[-1.2855477  -1.1450977  -0.9504741  ... -0.2841351  -0.15481165
 -0.0888589 ]"
507,7037,"[ 1.5897633   1.6315194   1.8967692  ... -0.2063432  -0.01712911
 -0.70602965]"
508,7430,"[-2.029749   -0.73686683 -0.6820993  ...  2.1086073   1.209828
  0.4966337 ]"
509,4997,"[-1.7615354  -1.6631393  -1.3045667  ...  0.90131557  0.71784097
  0.92186284]"
510,3842,"[-0.7223993  -0.71997803 -0.34101152 ... -1.308114   -1.0994781
 -0.66842675]"
511,5759,[-1.6243896 -1.5558538 -1.6357102 ... -4.19512   -4.3884478 -4.7836323]
512,5628,[-2.429889  -2.637469  -2.8981738 ...  4.553998   5.589651   5.7195415]
513,6013,[-2.3119848 -2.352342  -1.8076651 ...  2.3880682  3.387041   4.157728 ]
514,8708,"[  1.4814577   2.050507    2.5585487 ... -22.014     -22.68448
 -22.501749 ]"
515,8577,[ -6.013031  -8.139407  -9.850758 ... -15.250139 -13.922859 -12.513922]
516,7938,"[  5.5040054   7.1638956   8.895105  ... -31.161476  -30.314116
 -29.07164  ]"
517,6406,"[-23.483553  -19.654636  -15.960603  ...  -6.8124375  -5.595049
  -4.4122677]"
518,6144,[28.410376  28.501238  28.518503  ... -6.669133  -6.4572744 -6.174862 ]
519,7291,"[-5.842198   -5.510403   -5.146026   ... -0.99869716 -0.99229985
 -1.3211914 ]"
520,7037,"[-5.842198   -5.510403   -5.146026   ... -0.5330632  -1.0393182
 -0.70438987]"
521,5505,"[ -1.5406873  -1.9394867  -2.2959146 ... -11.708377  -11.101487
 -10.38501  ]"
522,6013,[19.126541  18.864685  18.336094  ... -4.6049175 -4.7393594 -4.93424  ]
523,7553,"[  0.34965682   0.3454526    0.06153308 ... -12.912627   -12.80949
 -12.447451  ]"
524,3326,[ 7.8571463  8.89914   10.538228  ... -2.3235004 -2.5217743 -2.4341235]
525,7168,[ 2.0438006  2.026068   2.0040863 ... 22.787962  23.28951   23.626902 ]
526,3973,"[-1.2718973  -1.3483696  -1.1893468  ...  0.62655425  1.0018698
  1.3615379 ]"
527,2818,[3.0621212 2.7147717 2.270965  ... 0.8080736 1.0403367 1.5074979]
528,4866,[1.83601   1.5073206 1.121315  ... 6.5020566 6.003404  6.12792  ]
529,6783,[ 6.1989937  5.9912043  5.778899  ... -7.3964086 -7.0437546 -6.5964923]
530,8830,[6.1989937 5.9912043 5.778899  ... 2.0210762 2.3254867 2.5497231]
531,4866,[0.6225485  0.60628235 0.66729075 ... 8.960092   8.23699    7.5775065 ]
532,5890,"[-0.5362673  -0.5173739  -0.44821656 ... 26.56225    24.972746
 23.621368  ]"
533,6398,[3.4938123 3.5926914 3.6557956 ... 2.9693387 3.9593885 4.298463 ]
534,4989,[ 7.4875336  7.5891323  7.569406  ... -5.724903  -6.1686306 -6.24977  ]
535,4227,[5.137879  5.4452324 5.4572906 ... 1.5648052 1.5490175 1.3811028]
536,5759,[ 1.8609123  0.4007022 -2.3667662 ...  7.5755706  5.474692   4.256422 ]
537,7422,[ 3.8145354  3.3144538  3.5009327 ... 21.776257  20.891832  20.461172 ]
538,7553,[ 8.239819   8.316447   8.246638  ... -1.5758917 -1.6238579 -1.5091419]
539,7938,[-1.4153128 -1.1856991 -1.031229  ... -4.851151  -4.5564346 -4.71396  ]
540,5759,[2.4262974 2.1186728 1.6318067 ... 2.025997  2.1690989 2.1035035]
541,6398,[2.4262974  2.1186728  1.6318067  ... 2.1406603  0.72883177 1.0490203 ]
542,5374,"[-2.7473536  -2.293082   -2.150982   ...  0.484461    0.5185419
  0.31946662]"
543,6914,"[-0.85383034 -0.47905558 -0.5527569  ...  1.6865615   2.1432307
  2.6210718 ]"
544,3457,"[ 0.33070192  0.0082749  -0.14305525 ...  1.7599571   1.6217325
  1.4420437 ]"
545,7815,[7.2776594 7.144704  7.264833  ... 3.1918814 3.220164  3.3230314]
546,5628,[ 3.1986182  3.0474749  3.2060113 ... -8.358223  -8.265933  -8.33594  ]
547,7037,[0.9636021 0.8881779 0.7858727 ... 4.238345  4.549426  4.4389124]
548,10108,"[-108.97668   -107.71974   -106.45537   ...   -1.2938265   -1.8151609
   -1.6611744]"
549,7299,[ 4.112629   3.859718   3.6746593 ... -4.1835527 -4.4823365 -1.5586365]
550,6013,"[ 1.41517     0.7167666   0.67513084 ... -2.3056078  -2.681999
 -2.7176769 ]"
551,5505,[1.6136124  1.0273368  0.49528468 ... 7.300938   6.396058   6.5989494 ]
552,6529,[ 0.8212033  1.3032395  1.6589935 ... 24.522917  24.377525  24.310238 ]
553,6021,"[ 5.141951    4.939078    4.6464524  ... -0.6523792  -0.3324824
  0.23309611]"
554,5374,[8.573693  8.441049  7.83573   ... 6.9685144 6.8046236 6.6495895]
555,5382,[6.571345  6.5051627 6.4007335 ... 1.5932847 1.9259136 2.2465408]
556,8454,"[  6.571345    6.5051627   6.4007335 ... -29.191715  -29.276712
 -29.331156 ]"
557,9093,"[ -2.9029298  -2.7283082  -2.519355  ... -20.447918  -19.270258
 -18.212555 ]"
558,8577,[25.165117 25.254234 25.454885 ... 21.240486 22.146057 21.640379]
559,7807,[23.546019  21.062057  18.225452  ...  7.3473907  8.551168   9.584858 ]
560,8954,[-17.019377 -15.729807 -14.480691 ...   8.115381   8.26948    8.390713]
561,7422,[22.785027  23.493898  23.303831  ...  1.5973368  1.5181712  1.5372621]
562,8700,[-2.8532827 -1.8420869 -0.9096114 ... -1.9832821 -2.3428624 -3.6842725]
563,4603,"[ -2.9857092  -3.0712583  -3.1488671 ... -12.512649  -11.761993
 -11.089585 ]"
564,7046,"[ -3.492908   -3.8328493  -4.1037393 ... -27.93378   -30.79111
 -33.85556  ]"
565,6660,"[-10.302795   -9.514201   -8.688164  ...  -5.9534354  -4.7311535
  -4.010767 ]"
566,8323,"[-10.302795   -9.514201   -8.688164  ...  -1.7165626  -1.5421425
  -1.4923606]"
567,8192,"[ -12.149918  -12.860944  -13.393767 ... -125.02042  -125.119156
 -124.291275]"
568,6398,"[-16.094746   -16.398384   -17.15213    ...  -0.14395866  -0.4352409
  -0.77664554]"
569,8315,"[-11.934152  -11.066475  -10.0666    ...   4.4719453   5.439004
   5.8963614]"
570,5505,[6.479534  6.4889336 6.291009  ... 4.292067  4.534309  4.7530427]
571,6529,"[ 0.02446136 -0.11030802 -0.3637027  ... -2.2955468  -2.3195524
 -2.291222  ]"
